;Prim;BFS;A-Star;IDA;path Length
588;20772;29842;12581;4974;58
589;20187;28965;28672;6437;78
590;20480;18725;9069;3218;62
591;20480;29550;30428;10825;58
592;20481;28087;21065;7607;66
593;21065;28087;10532;5559;58
594;21650;24283;15214;6729;66
595;23698;33061;19309;7315;58
596;21943;19017;9655;3219;58
597;20772;37742;16676;8192;62
598;26917;38327;20187;7607;58
599;28087;38034;18432;5266;58
600;30427;27502;13750;7899;62
601;28380;40960;21650;9948;58
602;21650;31890;14336;5852;62
603;21650;28672;13458;4681;66
604;21358;24576;18432;8192;62
605;21065;28379;12288;7899;66
606;21651;29257;9363;2926;58
607;20772;22236;20480;9362;78
608;20772;29842;9362;4389;62
609;20480;19310;11995;6729;70
610;20772;28672;18432;6437;58
611;21065;25454;12873;3511;70
612;20772;17847;9363;4974;58
613;20773;28087;12288;11118;78
614;20187;29257;23698;10825;66
615;20772;27794;11702;4974;66
616;20187;25454;18432;3803;74
617;21065;30427;31305;12873;70
618;22821;32183;19310;10533;66
619;21358;31306;20773;5559;66
620;21065;30427;25161;11410;66
621;24868;35401;26039;11996;70
622;24869;35401;15798;6436;70
623;24869;33645;21650;9070;58
624;24283;31306;15798;7314;70
625;21065;20773;8484;2926;58
626;20773;29842;36278;12874;62
627;20772;26331;10532;6144;58
628;21065;24576;14043;5267;62
629;21065;29550;16970;7314;66
630;20773;26332;18432;9655;66
631;20772;30427;21358;8484;62
632;20480;28380;15214;6437;62
633;20187;29550;17554;7899;62
634;20772;26331;15214;7021;66
635;21650;19310;9069;2341;58
636;20480;31305;21650;9655;70
637;20480;27210;14043;5267;70
638;23698;29550;15799;8192;66
639;20773;18432;11996;4389;66
640;20773;27502;9362;7607;58
641;21357;26624;17262;7314;62
642;21065;27794;13458;4096;62
643;20772;28379;34524;12874;62
644;20188;25453;12288;6437;58
645;20480;29842;17847;7899;62
646;20187;24576;14336;3511;66
647;21065;23113;14336;7607;62
648;21065;29843;28964;11411;62
649;21358;23698;11118;7314;66
650;20480;26039;15213;6436;74
651;21358;26624;29842;13750;66
652;20188;19895;9655;3511;62
653;20480;21358;11118;3803;66
654;20480;27794;15506;9655;70
655;20480;28964;29257;10533;70
656;20480;29550;28380;12580;70
657;20188;21650;10825;4388;58
658;20772;29842;18140;9362;62
659;20480;29549;21650;7607;66
660;21650;26917;11703;4388;66
661;21357;30135;15213;6144;62
662;20772;25454;11703;6436;58
663;21065;30135;14629;10240;66
664;20187;24283;11703;6436;62
665;21065;21358;9655;3219;66
666;20480;24284;10825;4096;62
667;21065;27502;18432;7607;66
668;20480;24283;9947;6729;62
669;20188;28965;13166;4388;66
670;19895;20480;10533;3511;74
671;21065;30135;16969;6729;58
672;20188;28380;10825;3511;62
673;20480;29842;23698;12873;58
674;21065;22528;11703;3803;58
675;20773;30135;12288;4096;66
676;22820;29842;18432;7899;66
677;21066;20480;11703;5559;66
678;21357;16677;10532;4681;58
679;20480;29549;25746;11118;58
680;20480;31890;14629;7314;62
681;21358;28672;16384;7607;58
682;21065;27209;17847;8777;66
683;21358;30720;21357;8778;70
684;21065;26916;14921;5266;70
685;20773;29842;26038;12581;70
686;20773;30135;18432;8485;66
687;20773;29257;14336;4973;58
688;21065;28965;20187;10240;58
689;21065;25746;15506;7607;70
690;20480;28672;12580;4974;74
691;20480;25454;11410;4096;58
692;20773;29257;20773;8777;66
693;20773;22821;9655;3219;58
694;21943;24576;10240;3219;66
695;20773;23991;10240;3803;58
696;21065;21650;9655;2633;62
697;20773;30428;14336;5559;78
698;21065;29550;21651;7607;62
699;19895;25454;10240;6436;62
700;20480;23113;11117;5852;66
701;21066;30135;14336;5266;58
702;20480;29257;23698;9362;74
703;21066;23406;14629;6144;58
704;22528;31305;14336;7314;62
705;20772;28964;21358;8484;62
706;20480;28379;12288;7314;62
707;21650;28672;29549;14629;62
708;20188;27501;12873;3219;74
709;20773;21065;12873;4681;70
710;20188;22528;12873;5266;62
711;21066;26331;10825;3511;62
712;20480;25747;15798;5266;70
713;19895;21358;12873;3804;66
714;20480;30427;19895;7900;82
715;20187;30135;29258;12580;62
716;20773;22821;9069;5559;58
717;21357;27502;9069;2925;58
718;20480;29842;26039;6144;66
719;22528;30135;26624;9948;62
720;23406;26331;17847;7899;62
721;20772;28379;10825;3511;62
722;24283;25161;13751;8777;58
723;24869;29842;21066;8485;74
724;20773;29257;30135;12873;58
725;21942;31305;14922;5558;66
726;21065;29549;11118;4388;66
727;21358;26332;16384;8192;70
728;22820;30427;27794;10532;74
729;21358;29842;13165;5559;58
730;20772;25747;9947;3803;58
731;21066;22820;9069;4388;58
732;20480;28379;14043;5559;62
733;20772;25453;9362;3511;58
734;21358;31013;33061;13458;66
735;21065;25454;9948;8485;62
736;20188;21650;13751;4389;82
737;20480;26332;22821;9655;66
738;21065;26332;14628;6436;66
739;20773;29550;26624;12288;66
740;21358;29843;14336;5852;58
741;21065;27502;11995;9070;58
742;20480;26039;9947;3218;62
743;19895;24576;13458;5266;66
744;20187;21358;10240;4096;66
745;20773;19602;11410;5558;66
746;21358;28379;29550;11410;66
747;21358;31306;23114;13166;58
748;21358;24283;12873;5851;62
749;21358;31598;21358;4681;62
750;21065;29257;10825;3510;58
751;19602;21358;12581;4388;70
752;21065;27209;15506;4681;66
753;20773;27502;15214;9363;62
754;20480;31306;21942;9070;74
755;21358;23113;11410;3511;66
756;20480;29549;15213;4096;70
757;20188;24576;17262;8192;82
758;20772;27209;15506;7314;62
759;21065;23698;12288;4974;74
760;20480;27502;27794;13166;58
761;21943;28964;11411;9947;58
762;21357;19310;11996;4973;62
763;20480;29258;12288;5267;62
764;21065;20480;11118;3511;62
765;21065;27502;13459;6144;58
766;20187;25161;16384;6144;58
767;20773;19310;11703;4096;70
768;20187;27502;14629;4389;66
769;20773;29549;17555;9947;62
770;20480;26039;11411;3803;62
771;19895;29550;14921;6729;82
772;21357;28965;12873;4096;58
